Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
28.562 -0.1368 1.1275 1.2272 0.7986 0.1393 0.1514 0.0235 -1.5695 0.1739 0.0123 0.1563 0.1087 0.4626 0.3482
17.946 0.1637 0.9835 1.6359 1.3443 0.1384 0.2893 0.1089 0.1759 0.8075 0.1396 0.1838 0.0677 -0.6728 0.5325
28.066 -0.3655 0.8743 0.6067 0.7065 0.1511 0.1885 0.0317 -1.8683 0.4295 0.0798 0.2472 0.0392 -0.5499 0.9747
25.694 0.0293 0.9125 1.0542 1.0794 0.144 0.1607 0.0484 -0.4529 0.1691 0.0752 0.1792 0.0298 0.6898 0.8637
29.594 -0.2524 1.3311 1.2436 0.6392 0.1398 0.2426 0.0413 -0.6083 -0.0529 0.1505 0.2634 0.1405 0.4715 0.3562
22.27 -0.6637 0.6407 0.4632 0.5266 0.1403 0.2934 0.0785 -1.2569 1.7801 0.2384 0.1565 0.0386 -0.0722 0.9837
22.094 -0.1833 1.1699 1.2198 1.2512 0.1442 0.1442 0.1366 -0.2471 0.3161 0.2458 0.2363 0.0748 -0.7275 0.8736
15.45 -0.0461 1.1583 1.6305 1.3202 0.1578 0.1363 0.0135 -1.8869 1.6541 0.0472 0.1328 0.0263 -0.6795 0.3915
22.95 -0.6903 1.1925 0.672 1.244 0.1442 0.265 0.1332 0.0439 0.2789 0.0165 0.1457 0.0893 -0.4222 0.542
19.79 0.1253 1.0939 0.8679 0.7377 0.1351 0.2507 0.0221 -1.8767 1.7159 0.0446 0.1757 0.0853 -0.3336 0.7317
26.15 0.0139 1.1767 1.3857 1.3749 0.1358 0.1425 0.0816 0.0967 -0.1201 0.0639 0.1542 0.1017 0.7662 0.6762
29.81 -0.0626 1.2923 0.1491 0.7925 0.1531 0.2432 0.0109 -1.7243 -0.0283 0.0154 0.2124 0.0526 -0.3173 0.4424
17.934 0.2706 1.3467 1.3197 1.5388 0.1357 0.2708 0.0582 -0.1097 1.5155 0.029 0.1733 0.0292 -0.1528 0.3309
24.466 0.1085 0.8711 0.3558 0.7568 0.1412 0.2856 0.0621 -0.2585 0.4703 0.0452 0.286 0.0647 0.0446 0.9978
18.054 -0.2925 0.8315 1.607 1.1281 0.1351 0.1996 0.1662 0.4531 1.1435 0.2162 0.2559 0.0313 -0.6962 0.3808
17.058 0.2496 0.7727 0.7019 0.5198 0.1391 0.2953 0.122 0.0865 1.6151 0.11 0.1433 0.1316 -0.7032 0.8721
18.41 -0.0161 0.7921 0.1161 0.3468 0.1618 0.2357 0.0615 -0.9359 0.2915 0.2292 0.1702 0.027 -0.7746 0.3058
24.078 -0.3717 1.0149 0.4031 1.1094 0.1472 0.1359 0.1576 0.7243 -0.1441 0.1827 0.2778 0.1181 0.7339 0.8791
20.482 -0.0738 1.1259 1.3496 1.0325 0.1521 0.2397 0.1496 0.5791 1.7579 0.0246 0.2211 0.0606 -0.404 0.3092
22.458 -0.4747 1.1363 1.1908 0.9098 0.1361 0.2971 0.1992 0.9751 1.8431 0.108 0.1333 0.0534 -0.3656 0.4447
27.974 -0.1415 1.2427 0.9358 1.3372 0.1477 0.2043 0.1893 -1.3757 -0.4963 0.0222 0.296 0.111 -0.7608 0.7818
22.238 -0.3619 1.0019 0.5918 0.7357 0.1427 0.2961 0.1508 -0.2777 -0.1477 0.2228 0.1269 0.1007 0.5598 0.9919
24.538 -0.4733 0.8551 0.517 0.6507 0.159 0.2108 0.1162 -1.5047 -0.0829 0.0129 0.2672 0.073 0.708 0.8741
23.546 -0.2269 1.2839 0.109 1.0376 0.1385 0.1688 0.1491 -1.4807 -0.2935 0.1282 0.186 0.0733 -0.1218 0.313
19.622 0.211 0.8231 0.7505 0.4273 0.1406 0.2172 0.1602 0.3439 1.7399 0.036 0.1706 0.0453 0.492 0.9764
18.306 0.2673 0.7731 0.8294 1.108 0.1408 0.1881 0.0125 0.3619 1.4165 0.0263 0.1496 0.0555 -0.6395 0.3379
28.778 -0.2793 1.2569 1.4686 0.9523 0.1367 0.1888 0.0554 0.0925 0.2045 0.0282 0.1343 0.1243 -0.0782 0.7784
26.358 -0.1849 0.9213 0.3419 0.9781 0.1639 0.1899 0.0976 0.8467 0.1805 0.0138 0.1391 0.0786 0.1227 0.7826
18.97 -0.1385 0.8843 1.454 0.7697 0.1598 0.1558 0.1 -0.5729 0.7523 0.1124 0.232 0.0537 0.0302 0.4415
28.706 -0.4997 0.9009 1.2697 1.3841 0.1416 0.2373 0.1385 -0.8375 -0.6727 0.2345 0.1408 0.0548 -0.7557 0.6401
