"Pb_Pb" "Mean" "Width" "Dist" "Flactutation" "Temp" "Kink" "eta_s" "Slope_low" "Slope_high" "Max" "Temp_peak" "Width_peak" "Asym_peak" "R" "tau_initial"
10.14 0.1638 0.959 0.6035 1.6107 0.16329 0.18457 0.13825 -1.517 -0.769 0.06928 0.24798 0.063125 0.2448 0.3791 0.05
10.74 -0.1162 1.169 1.5215 0.6281 0.13563 0.17777 0.13483 -1.529 1.589 0.14752 0.1893 0.106375 -0.6992 0.5961 0.05
11.14 -0.0434 1.115 1.5385 0.6791 0.15153 0.14513 0.09227 0.313 -0.271 0.23968 0.2109 0.030125 -0.232 0.6983 0.05
11.22 -0.161 1.017 1.5827 1.2809 0.14445 0.17165 0.18765 0.709 0.359 0.10624 0.13926 0.114625 0.6832 0.6255 0.05
11.7 0.4998 1.383 0.0663 1.6651 0.15705 0.21381 0.07441 -0.197 1.109 0.16096 0.15654 0.082375 -0.7408 0.7711 0.05
12.34 -0.5446 1.045 0.0765 0.5465 0.15093 0.25869 0.08885 -1.745 1.391 0.06304 0.21558 0.129875 -0.616 0.6381 0.05
12.42 -0.6006 0.851 0.3961 0.9171 0.15837 0.27059 0.18309 -0.683 -0.667 0.23392 0.23286 0.115125 0.1648 0.8383 0.05
12.9 -0.2814 1.359 1.2699 0.4343 0.14823 0.26685 0.11545 -0.281 0.155 0.06064 0.2991 0.072625 -0.1424 0.9713 0.05
13.3 -0.4578 1.227 0.3451 1.2231 0.14673 0.15091 0.11925 -1.067 1.793 0.2128 0.23934 0.134125 0.6096 0.8705 0.05
13.74 0.3962 1.067 0.4267 1.9847 0.14271 0.21585 0.19373 0.439 -0.361 0.15232 0.2901 0.075875 0.28 0.9027 0.05
14.06 -0.175 0.783 0.0051 0.7777 0.14169 0.16927 0.05009 0.523 -0.733 0.1288 0.16806 0.130125 -0.3632 0.4995 0.05
14.62 0.1778 0.575 1.2971 1.6481 0.14985 0.15771 0.09873 -1.853 0.569 0.0376 0.16086 0.104375 -0.088 0.9391 0.05
15.14 -0.6202 1.471 0.9537 1.0293 0.15423 0.24407 0.15573 0.589 -0.883 0.08176 0.19902 0.086875 -0.4144 0.3231 0.05
15.54 0.217 0.583 1.6711 1.8521 0.14745 0.22979 0.16789 0.085 0.689 0.2056 0.18714 0.071375 -0.6704 0.4225 0.05
15.9 0.3906 0.555 0.5661 0.8491 0.14367 0.27433 0.12533 -1.943 0.437 0.24064 0.17886 0.056625 0.472 0.4365 0.05
16.06 0.00139999999999996 0.885 0.6715 0.3595 0.16077 0.27739 0.19221 0.367 1.865 0.10528 0.17094 0.057625 0.0176000000000001 0.5121 0.05
16.58 -0.00419999999999998 0.829 0.1445 1.1857 0.14619 0.18797 0.11051 0.895 0.869 0.172 0.12666 0.035125 0.7568 0.8509 0.05
16.86 0.1386 0.871 0.2295 1.7569 0.13803 0.25223 0.02083 0.223 1.481 0.02032 0.2253 0.092625 -0.0496000000000001 0.8831 0.05
17.46 0.0434 1.337 0.7123 0.9613 0.16107 0.28045 0.02805 -1.127 1.649 0.22 0.25554 0.042625 -0.00160000000000005 0.3917 0.05
17.82 0.665 0.521 0.8857 0.3833 0.14559 0.19375 0.10861 -0.077 1.451 0.01168 0.27354 0.084125 -0.312 0.5723 0.05
18.26 -0.273 1.153 1.6065 1.9541 0.15849 0.15023 0.03223 -0.671 -0.145 0.18976 0.2829 0.118375 0.2096 0.6633 0.05
18.7 -0.6706 0.969 0.1139 0.8287 0.15735 0.16213 0.01209 0.163 0.659 0.12496 0.28866 0.052625 0.3344 0.7501 0.05
18.98 0.0798000000000001 1.097 0.2023 0.4615 0.16485 0.26447 0.03755 0.00100000000000033 -0.445 0.04144 0.15546 0.100625 0.4304 0.7949 0.05
19.5 -0.245 0.645 1.4161 1.3659 0.15285 0.29847 0.17017 -0.857 0.0589999999999999 0.14224 0.21918 0.149125 0.584 0.3063 0.05
19.94 0.441 1.377 0.5287 1.8113 0.14283 0.28861 0.06339 -1.235 -0.871 0.1816 0.26274 0.092375 -0.3248 0.5387 0.05
20.02 -0.3178 1.137 1.3345 0.5975 0.13731 0.23965 0.03527 -1.625 -0.199 0.0568 0.14358 0.099875 0.7344 0.5569 0.05
20.78 0.2282 0.613 0.8551 1.0837 0.14805 0.23387 0.10329 -1.175 0.839 0.2488 0.29406 0.143875 -0.4752 0.9867 0.05
20.82 0.2562 0.721 1.6575 1.4305 0.13791 0.18117 0.02273 -0.539 1.985 0.17584 0.2757 0.061875 0.1264 0.4701 0.05
21.22 -0.4326 1.197 1.4603 1.3897 0.16167 0.16553 0.12381 -1.691 1.187 0.22336 0.12054 0.088375 0.0496000000000001 0.4897 0.05
21.74 0.091 0.675 0.4641 1.5699 0.16413 0.17539 0.14623 0.493 -0.0249999999999999 0.07552 0.27894 0.135125 -0.712 0.6857 0.05
22.1 0.5166 1.263 1.1577 0.7573 0.13899 0.25529 0.16257 -1.781 1.715 0.10096 0.25986 0.140375 0.5264 0.5863 0.05
22.5 -0.3822 0.935 1.2495 1.4985 0.15981 0.29065 0.07707 0.787 1.919 0.0952 0.26634 0.068625 -0.7824 0.7221 0.05
22.94 -0.4858 0.517 0.3111 1.9201 0.15195 0.22639 0.04211 -1.457 0.929 0.15856 0.1767 0.096625 -0.5872 0.3987 0.05
23.3 0.5894 0.909 1.0047 1.0055 0.14079 0.29575 0.16181 -0.749 -0.079 0.02992 0.13206 0.067375 -0.52 0.6675 0.05
23.74 -0.4186 1.253 0.2737 1.3489 0.15411 0.23863 0.15003 -1.931 -0.607 0.112 0.13674 0.033375 0.0912000000000001 0.8229 0.05
24.26 0.455 1.209 1.4671 0.3221 0.14031 0.19511 0.08543 0.679 -0.547 0.13264 0.26778 0.124375 -0.4976 0.6087 0.05
24.42 0.5362 1.299 1.1169 0.5159 0.15951 0.13357 0.07023 -0.917 1.013 0.016 0.22818 0.052125 0.408 0.8089 0.05
25.14 -0.6986 0.765 1.0557 0.7097 0.13503 0.28623 0.08201 -0.575 0.245 0.13888 0.25014 0.029125 -0.1712 0.4533 0.05
25.5 -0.3514 0.759 0.4845 1.7943 0.15579 0.21993 0.06035 0.835 0.137 0.02704 0.2019 0.120125 0.6704 0.3651 0.05
25.7 0.3458 1.457 0.8041 1.4815 0.15537 0.20667 0.09417 -1.013 1.331 0.04864 0.19362 0.145375 -0.5648 0.3287 0.05
26.06 0.5754 0.801 0.2431 0.6621 0.14469 0.14105 0.14281 -1.343 -0.979 0.16672 0.22386 0.047875 -0.2096 0.7417 0.05
26.46 -0.5866 1.309 0.7735 1.7263 0.14103 0.13731 0.17359 -0.473 0.791 0.08464 0.24582 0.045875 -0.1008 0.5275 0.05
26.98 -0.525 1.423 1.1271 1.1381 0.14919 0.26175 0.05503 0.973 1.235 0.18352 0.1497 0.125625 0.296 0.7095 0.05
27.22 0.6734 0.997 0.8313 0.5023 0.16269 0.19851 0.12837 -0.101 0.449 0.22672 0.18426 0.109375 0.7696 0.4603 0.05
27.66 -0.203 0.695 1.0489 1.0633 0.15357 0.15635 0.01589 -1.325 -0.331 0.0448 0.20694 0.026875 0.1392 0.3525 0.05
28.02 0.6174 1.021 1.3719 1.8725 0.15651 0.22503 0.19639 0.115 1.541 0.08992 0.23538 0.079625 0.5456 0.7809 0.05
28.66 0.3122 1.415 0.9469 0.8967 0.13629 0.20395 0.05693 -0.977 1.097 0.20176 0.20298 0.040125 0.3664 0.9293 0.05
28.98 -0.0938 0.703 0.7327 1.2979 0.13923 0.21041 0.15155 -0.341 -0.469 0.20848 0.13062 0.139375 0.4816 0.8901 0.05
29.22 0.2898 1.487 0.6443 1.1551 0.15039 0.13153 0.17929 -0.215 0.545 0.11824 0.14826 0.111625 -0.4336 0.9769 0.05
29.74 -0.0574 0.629 1.1951 1.5257 0.16203 0.24713 0.04781 -0.419 0.263 0.196 0.1641 0.039125 -0.2832 0.9503 0.05
10.3 0.1442 1.319 1.0727 1.9609 0.15327 0.24577 0.17967 0.619 1.463 0.0976 0.17634 0.041625 -0.0976 0.8117 0.05
10.5 -0.665 0.889 1.1441 0.9137 0.14499 0.20123 0.05731 -0.785 -0.157 0.15712 0.16446 0.055375 -0.776 0.3707 0.05
10.86 0.6202 0.739 0.7769 1.6753 0.15927 0.18491 0.07289 -1.133 0.239 0.2368 0.27858 0.066375 -0.4912 0.7249 0.05
11.54 0.6118 0.663 0.2363 0.7539 0.16035 0.24951 0.09379 -1.061 0.593 0.01936 0.17922 0.053625 0.5136 0.5499 0.05
11.66 0.4634 1.093 0.9911 0.5261 0.15975 0.27229 0.13293 -0.623 -0.649 0.06688 0.19146 0.146375 -0.5392 0.5107 0.05
