,method,function,randomfailures,failfraction,nx,n,dampalpha,avgvarconstant,varc_status,rmse,mae,medae,me,crps,coverage,avgintwidth,intscore,emutime,npts
0,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000256869,3.99E-05,3.11E-06,-4.54E-06,0.416974554,0.954357969,0.478418436,0.957640349,526.1279235,13452.59977
1,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000182958,3.54E-05,3.34E-06,-4.42E-06,0.467059359,0.967408209,0.536794427,0.820038118,421.9472141,13452.59977
2,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000314463,5.34E-05,1.63E-06,-3.52E-06,0.722339193,0.957456914,0.890019823,1.700055631,514.0940204,13452.59977
3,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.00033384,5.58E-05,1.70E-06,-2.52E-06,0.70607114,0.956846248,0.8651497,1.851250801,397.5727501,13452.59977
4,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000255903,4.71E-05,2.04E-06,1.68E-06,0.570828156,0.956161058,0.727451795,1.235625884,470.7162447,13452.59977
5,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000327336,5.41E-05,2.03E-06,2.15E-05,0.54836562,0.959128617,0.700017589,1.487894216,425.6644847,13452.59977
6,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.00021658,3.82E-05,1.34E-06,-6.49E-06,0.389832282,0.961962366,0.475459174,0.800216309,504.156384,13452.59977
7,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.00017139,3.50E-05,1.73E-06,3.40E-06,0.427397691,0.958266129,0.477839772,0.741028984,391.7164552,13452.59977
8,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000242961,4.54E-05,2.42E-06,-1.23E-06,0.574489727,0.965716591,0.752141608,1.204206479,533.2833645,13452.59977
9,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000203875,4.28E-05,2.45E-06,5.94E-06,0.703732157,0.960742135,0.794836314,1.160570657,496.1561821,13452.59977
10,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000255897,3.32E-05,1.22E-06,-5.39E-06,0.363531719,0.956204872,0.458056952,0.873371177,435.418921,13452.59977
11,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.00018003,2.92E-05,1.03E-06,5.83E-06,0.412495994,0.963627775,0.476135515,0.76015612,501.2986009,13452.59977
12,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000283308,4.35E-05,2.71E-06,-6.76E-06,0.504232281,0.962262877,0.597701206,1.0285781,379.9517667,13452.59977
13,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000251466,4.66E-05,2.59E-06,-7.12E-06,0.523708452,0.956997232,0.611652763,1.021553869,366.4247916,13452.59977
14,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000171082,2.46E-05,9.48E-07,1.12E-06,0.367558737,0.954965904,0.427993741,0.761954135,405.2145734,13452.59977
15,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000171692,2.36E-05,8.56E-07,-1.58E-06,0.346792868,0.957734117,0.428045991,0.720694105,497.0480323,13452.59977
16,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000322748,7.47E-05,1.04E-05,6.42E-06,0.375907188,0.945723351,0.498655196,0.989334872,461.4442782,13452.59977
17,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.00020206,5.67E-05,8.24E-06,1.68E-07,0.431194172,0.963275501,0.530926941,0.74273621,463.309303,13452.59977
18,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000193281,4.46E-05,1.94E-06,-5.08E-06,0.652575835,0.954824354,0.809105885,1.237999959,427.4971459,13452.59977
19,colGP,Borehole,FALSE,0.01,15,1000,,,n/a,0.000245964,4.71E-05,2.06E-06,1.51E-06,0.550563424,0.949699953,0.695710867,1.442641738,347.5939333,13452.59977
20,colGP,Borehole,FALSE,0.25,15,1000,,,n/a,0.0001137,2.03E-05,7.89E-07,-4.03E-06,0.036975968,0.974588665,1.398952534,0.091950093,190.2452517,13452.59977
21,colGP,Borehole,FALSE,0.25,15,1000,,,n/a,0.000197812,2.46E-05,7.60E-07,-2.86E-06,0.033313641,0.961517368,1.55136115,0.116772941,212.5674722,13452.59977
22,colGP,Borehole,FALSE,0.25,15,1000,,,n/a,9.87E-05,1.69E-05,8.11E-07,-2.27E-06,0.034630858,0.975167486,1.548943945,0.101350051,170.3378117,13452.59977
23,colGP,Borehole,FALSE,0.25,15,1000,,,n/a,0.000155519,2.02E-05,8.33E-07,-3.49E-06,0.033478721,0.963019205,1.272525036,0.120998369,210.2414546,13452.59977
24,colGP,Borehole,FALSE,0.25,15,1000,,,n/a,9.29E-05,1.60E-05,2.27E-06,-6.07E-07,0.033149617,0.973677397,1.173508729,0.080047942,186.3584406,13452.59977
25,colGP,Borehole,FALSE,0.25,15,1000,,,n/a,0.000198227,1.96E-05,2.41E-06,-3.96E-06,0.031070258,0.972728057,1.232320623,0.096157084,195.5724616,13452.59977
